Date,Nasdaq,DJIA,S&P500,nasdaq_ma5,nasdaq_ma20,nasdaq_ma60,nasdaq_ma120,nasdaq_ma200,dow_ma5,dow_ma20,dow_ma60,dow_ma120,dow_ma200,s_p_ma5,s_p_ma20,s_p_ma60,s_p_ma120,s_p_ma200
2021-01-29,13070.6904296875,29982.619140625,3714.239990234375,13388.1,13171.689501953126,12551.604166666666,11908.233081054688,11041.560546875,30557.2375,30810.608984375,30073.83564453125,28988.355712890625,27579.1346875,3791.4740234375,3791.864514160157,3684.1275024414062,3540.3476704915365,3349.974354248047
2021-02-01,13403.3896484375,30211.91015625,3773.860107421875,13341.5798828125,13197.444970703124,12588.984488932292,11928.52499186198,11065.915693359377,30407.61953125,30790.88046875,30119.3669921875,29008.526302083334,27612.50583984375,3775.1740234375,3792.754016113281,3690.872505696615,3543.792588297526,3354.8459045410154
2021-02-02,13612.7802734375,30687.48046875,3826.31005859375,13338.9240234375,13243.161474609376,12622.684488932293,11952.10799153646,11090.728896484376,30357.7078125,30814.0599609375,30166.697330729166,29033.5310546875,27644.730791015623,3770.51201171875,3799.037023925781,3697.2536743164064,3547.897755940756,3359.6046545410154
2021-02-03,13610.5400390625,30723.599609375,3830.169921875,13406.912109375,13282.740478515623,12651.344661458334,11973.760489908856,11115.977944335937,30441.79375,30830.6599609375,30205.587662760416,29056.42071940104,27680.096591796875,3786.3919921875,3804.2025146484375,3702.582340494792,3551.6462544759115,3364.639704589844
2021-02-04,13777.740234375,31055.859375,3871.739990234375,13495.028125,13334.58798828125,12682.71982421875,11996.554158528646,11143.550493164064,30532.29375,30841.98291015625,30251.12864583333,29082.746875,27720.281484375,3803.264013671875,3810.38251953125,3708.620674641927,3555.798838297526,3370.315604248047
2021-02-05,13856.2998046875,31148.240234375,3886.830078125,13652.15,13374.028955078124,12718.428483072918,12020.195825195313,11170.355092773438,30765.41796875,30847.33837890625,30284.2998046875,29109.557047526043,27758.643583984376,3837.78203125,3814.534521484375,3714.22617594401,3560.0820048014325,3375.753204345703
2021-02-08,13987.6396484375,31385.759765625,3915.590087890625,13769.0,13413.3119140625,12758.991471354168,12044.011735026044,11197.819541015626,31000.187890625,30861.72783203125,30317.047135416666,29139.064127604168,27797.996083984373,3866.12802734375,3819.080029296875,3720.39384358724,3564.528672281901,3381.342154541016
2021-02-09,14007.7001953125,31375.830078125,3911.22998046875,13847.983984375,13461.875439453124,12796.012646484374,12067.318904622396,11224.685444335935,31137.8578125,30880.08486328125,30350.017122395835,29169.045458984376,27835.99888671875,3883.11201171875,3824.661022949219,3726.036678059896,3568.874088541667,3386.7146044921874
2021-02-10,13972.5302734375,31437.80078125,3909.8798828125,13920.38203125,13506.88046875,12833.7283203125,12090.869490559897,11250.897294921877,31280.698046875,30898.5404296875,30389.310970052084,29200.253125,27872.518994140624,3899.05400390625,3830.0955200195312,3732.2511759440094,3573.3326700846355,3391.871604003906
2021-02-11,14025.76953125,31430.69921875,3916.3798828125,13969.987890625,13551.721435546877,12870.336311848958,12113.876318359376,11277.987490234374,31355.666015625,30917.05185546875,30421.82578125,29231.011197916665,27909.164736328126,3907.981982421875,3835.422509765625,3737.7716756184896,3577.7565856933597,3397.136553955078
2021-02-12,14095.4697265625,31458.400390625,3934.830078125,14017.821875,13600.862939453124,12906.525309244793,12137.073567708334,11303.8912890625,31417.698046875,30940.3958984375,30446.958463541665,29260.411783854168,27943.28744140625,3917.581982421875,3842.38701171875,3742.9036783854167,3582.237170410156,3402.113154296875
2021-02-16,14047.5,31522.75,3932.590087890625,14029.7939453125,13653.312939453124,12942.327978515625,12159.30506998698,11329.681040039062,31445.09609375,30975.82041015625,30475.948470052084,29287.197526041666,27979.172587890625,3920.981982421875,3850.6040161132814,3748.288012695312,3586.414754231771,3407.213955078125
2021-02-17,13965.490234375,31613.01953125,3931.330078125,14021.351953125,13691.728466796874,12978.392822265623,12180.130240885415,11356.483740234376,31492.533984375,31009.94541015625,30512.191796875,29315.235693359376,28018.61923828125,3925.002001953125,3857.2250244140623,3754.3470133463534,3590.47900390625,3412.7170556640626
